Data,Predicted
Y,0.225135637
N,0.015354609
N,0.0001
Y,0.417204888
N,0.0001
Y,0.825845697
Y,0.566671094
N,0.361344126
Y,0.138533613
N,0.0001
N,0.0001
N,0.10015621
N,0.519371562
Y,0.687709876
Y,0.488898237
Y,0.471409091
N,0.118468641
Y,0.373571663
N,0.0001
N,0.078786849
N,0.067795272
Y,0.421387476
Y,0.83791151
N,0.0001
Y,0.457122298
N,0.405682588
Y,0.580764825
Y,0.218196512
Y,0.655224335
Y,0.855784984
Y,0.50579238
Y,0.084138364
N,0.0001
Y,0.821532224
Y,0.678781002
Y,0.926816559
N,0.50659274
N,0.164581177
Y,0.328660268
Y,0.288377542
N,0.059794767
Y,0.62206104
N,0.064220637
Y,0.791833862
Y,0.207360705
Y,0.34374656
Y,0.225577433
Y,0.75455163
Y,0.506957704
N,0.0001
N,0.058930078
Y,0.749783305
N,0.03936428
Y,0.850028134
N,0.172089154
N,0.066416753
Y,0.567490629
N,0.057332485
Y,0.761940543
N,0.125667186
Y,0.678991758
N,0.228706155
Y,0.68499118
N,0.09513121
Y,0.351269244
Y,0.570312751
N,0.0001
Y,0.138407109
N,0.439762099
N,0.200565587
N,0.0001
N,0.133003815
Y,0.404646644
Y,0.550891144
Y,0.415110029
Y,0.42737024
Y,0.175065829
N,0.38808125
Y,0.570520642
Y,0.6173936
N,0.0001
N,0.223786655
Y,0.245724872
N,0.147310984
Y,0.656746637
N,0.136984071
Y,0.694440361
N,0.403283901
Y,0.253220092
Y,0.587039158
N,0.096477247
Y,0.77295129
N,0.081595909
Y,0.138402045
Y,0.372460544
N,0.036575703
Y,0.278538797
Y,0.729871568
Y,0.544152042
Y,0.8140683
N,0.108877327
N,0.0001
N,0.0001
N,0.140347197
N,0.0001
N,0.111951146
N,0.273102486
Y,0.746288955
Y,0.280770148
Y,0.441145204
Y,0.194084087
Y,0.300068795
Y,0.881620015
Y,0.44164248
N,0.0001
N,0.227901755
N,0.2157731
Y,0.652973156
N,0.361191701
N,0.0001
Y,0.544357267
N,0.216806743
Y,0.663144573
N,0.390221372
N,0.0001
N,0.017205352
N,0.046550353
Y,0.497414924
Y,0.375995967
N,0.211114841
N,0.0001
Y,0.338798002
Y,0.758031735
N,0.364765878
N,0.172331655
Y,0.490027205
N,0.384078322
Y,0.149516671
N,0.008708927
Y,0.224359365
Y,0.674530153
Y,0.473461694
Y,0.232653724
N,0.171596763
Y,0.661383153
Y,0.476280739
N,0.188372312
Y,0.660643742
Y,0.560021217
Y,0.498866655
N,0.417782676
N,0.0001
Y,0.396102307
Y,0.392494
N,0.067356851
Y,0.506465866
Y,0.741886036
Y,0.493834563
Y,0.622761886
Y,0.778629673
N,0.376177326
N,0.0001
Y,0.094023964
Y,0.411875357
N,0.0001
Y,0.656660618
Y,0.358468475
N,0.150609275
N,0.0001
Y,0.614080059
N,0.0001
N,0.0001
N,0.0001
N,0.0001
N,0.107406666
Y,0.236991851
Y,0.569899753
Y,0.465197292
N,0.293648623
N,0.314567095
N,0.0879467
Y,0.454703781
Y,0.444991643
N,0.050408819
Y,0.437551851
N,0.130305697
Y,0.336272424
Y,0.592396667
Y,0.138354142
N,0.0001
Y,0.834161136
N,0.023170873
Y,0.323113794
N,0.211781092
N,0.444532586
Y,0.443579097
N,0.0001
N,0.139058433
N,0.0001
N,0.0001
Y,0.38499674
N,0.0001
N,0.0001
Y,0.123681638
Y,0.472032978
N,0.525912484
N,0.0001
Y,0.396940427
N,0.26437863
Y,0.016477121
N,0.0001
N,0.082716598
N,0.0001
Y,0.783494732
N,0.109288479
N,0.157626045
N,0.236647676
Y,0.740077106
N,0.0001
N,0.0001
N,0.206587293
N,0.0001
N,0.0001
Y,0.577468692
Y,0.421772481
Y,0.762127968
N,0.0001
Y,0.530366393
N,0.24857274
N,0.435365668
N,0.0001
Y,0.506477522
Y,0.191485506
Y,0.804013908
N,0.0001
N,0.096306717
Y,0.767580687
Y,0.425041496
Y,0.652461621
Y,0.589906399
N,0.0001
Y,0.643446801
N,0.259075579
N,0.0001
Y,0.673050019
Y,0.082421867
N,0.099447465
Y,0.579345273
N,0.0001
N,0.057514014
Y,0.461871654
Y,0.689637808
N,0.0001
Y,0.406664727
N,0.0001
N,0.569201064
N,0.228117263
Y,0.458958547
N,0.282189415
Y,0.715746041
Y,0.369831765
Y,0.311177796
N,0.0001
Y,0.437475655
N,0.0001
N,0.0001
Y,0.906274537
N,0.0001
N,0.133111991
Y,0.669950473
Y,0.519887446
N,0.0001
N,0.0001
N,0.117140248
Y,0.712497054
Y,0.893230805
Y,0.494572867
Y,0.299682746
N,0.0001
N,0.0001
Y,0.499195639
Y,0.615206839
N,0.0001
Y,0.136910848
N,0.014205447
Y,0.529345336
N,0.0001
Y,0.251291365
N,0.0001
Y,0.55477882
N,0.0001
Y,0.426870088
N,0.0001
Y,0.731543209
N,0.0001
Y,0.374157588
Y,0.528718106
N,0.0001
Y,0.56013638
N,0.072086761
Y,0.14616557
Y,0.620443499
N,0.16173902
Y,0.863615019
Y,0.575539093
N,0.0001
Y,0.369297454
Y,0.306617238
Y,0.487022496
N,0.103230158
Y,0.421359953
N,0.0001
Y,0.466354069
N,0.0001
Y,0.343187848
Y,0.289559068
N,0.2598892
N,0.139309321
N,0.0001
N,0.0001
Y,0.756972227
Y,0.120890758
N,0.197729503
N,0.003897131
Y,0.416436328
N,0.012402934
N,0.0001
Y,0.715699273
Y,0.675610616
Y,0.76506855
N,0.0001
Y,0.740078389
Y,0.841420838
Y,0.946896945
N,0.321274399
N,0.0001
N,0.27794159
Y,0.627639721
N,0.0001
N,0.249467153
N,0.547360596
Y,0.247236577
N,0.133425249
N,0.370176607
N,0.0001
Y,0.328332491
N,0.256813811
N,0.0001
Y,0.290020592
N,0.0001
N,0.167306727
Y,0.461690135
N,0.0001
N,0.013979646
Y,0.38813855
N,0.0001
N,0.310334236
N,0.079071151
Y,0.303275331
N,0.213885215
Y,0.393860182
Y,0.756254078
N,0.431842777
N,0.0001
Y,0.654117607
N,0.0001
Y,0.672115813
N,0.0001
N,0.0001
Y,0.545970153
Y,0.21624029
Y,0.483109475
Y,0.650828347
Y,0.569211719
N,0.0001
N,0.049746375
Y,0.355987251
N,0.0001
Y,0.299716127
Y,0.433379057
N,0.237669631
Y,0.537777033
Y,0.414516654
Y,0.800943762
N,0.296561107
Y,0.307934951
Y,0.64754962
N,0.103993581
N,0.019950852
Y,0.564411487
N,0.226002456
N,0.134567234
N,0.116892748
N,0.087493619
N,0.0001
N,0.0001
Y,0.481522363
Y,0.197206406
N,0.0001
N,0.0001
Y,0.357638592
N,0.339037244
N,0.003120399
Y,0.947301575
N,0.0001
Y,0.784902692
N,0.044356782
N,0.0001
N,0.0001
N,0.0001
N,0.374658095
N,0.012133725
N,0.2948613
N,0.251805187
Y,0.645569376
N,0.0001
N,0.0001
Y,0.751735992
Y,0.853200073
N,0.0001
Y,0.610057866
Y,0.205791168
Y,0.410984321
N,0.0001
Y,0.240038325
N,0.038818104
Y,0.232435184
N,0.102906186
N,0.0001
Y,0.569323556
N,0.037841539
Y,0.414147987
N,0.0001
Y,0.236093926
N,0.0001
Y,0.236813976
Y,0.514436048
N,0.0001
N,0.553110218
N,0.209966555
N,0.310611491
N,0.152955599
N,0.0001
N,0.327167013
N,0.0001
Y,0.30384918
Y,0.4794465
