student	right	BruteForce	ContextualGS	eol
student102	0	0.612612	0.4523005	EOL
student102	1	0.5217554	0.4539356	EOL
student102	1	0.7785643	0.6890157	EOL
student102	0	0.9045782	0.8507693	EOL
student102	1	0.7119381	0.6341755	EOL
student102	1	0.8806187	0.8237595	EOL
student102	1	0.9342483	0.9018599	EOL
student102	1	0.9472418	0.9244842	EOL
student102	0	0.293607	0.2914418	EOL
student102	0	0.4023305	0.3651755	EOL
student102	1	0.4172601	0.378884	EOL
student102	1	0.6220365	0.539348	EOL
student102	0	0.7926373	0.7115792	EOL
student102	0	0.5998378	0.5371014	EOL
student102	0	0.4651362	0.4278116	EOL
student102	0	0.4286502	0.3933046	EOL
student102	1	0.770344	0.5974896	EOL
student102	1	0.9091254	0.811272	EOL
student102	1	0.9490403	0.9075726	EOL
student102	0	0.9583587	0.936131	EOL
student102	1	0.92983	0.8626175	EOL
student102	1	0.9539738	0.9235929	EOL
student102	1	0.9594563	0.9403042	EOL
student102	1	0.9606628	0.9445058	EOL
student102	0	0.522728	0.3947708	EOL
student102	1	0.4974492	0.4341716	EOL
student102	0	0.7425914	0.6490172	EOL
student102	0	0.5600341	0.4974223	EOL
student102	1	0.5036622	0.452006	EOL
student102	0	0.7475822	0.6684525	EOL
student102	0	0.5627203	0.5062486	EOL
student102	1	0.5041505	0.4538856	EOL
student102	1	0.7479692	0.6704119	EOL
student102	1	0.8781007	0.8225926	EOL
student102	1	0.9179769	0.8816086	EOL
student102	1	0.9279331	0.8990125	EOL
student102	1	0.9302855	0.9037087	EOL
student102	1	0.930834	0.9049449	EOL
student102	1	0.9309614	0.9052682	EOL
student102	1	0.930991	0.9053526	EOL
student102	0	0.332155	0.2850007	EOL
student102	1	0.4620763	0.4023416	EOL
student102	1	0.7409973	0.6488784	EOL
student102	1	0.8799948	0.8207505	EOL
student102	0	0.9163668	0.8794877	EOL
student102	0	0.8659045	0.8064007	EOL
student102	1	0.6921825	0.6229395	EOL
student102	1	0.8637554	0.809071	EOL
student102	1	0.9127213	0.8762865	EOL
student102	1	0.9233192	0.8935416	EOL
student102	1	0.925465	0.8975525	EOL
student102	1	0.9258935	0.8984627	EOL
student102	1	0.9259788	0.8986682	EOL
student102	1	0.9259958	0.8987145	EOL
student102	1	0.9259992	0.8987249	EOL
student102	1	0.9259998	0.8987272	EOL
student102	1	0.926	0.8987278	EOL
student102	1	0.926	0.8987279	EOL
student102	1	0.926	0.8987279	EOL
student102	1	0.926	0.8987279	EOL
student102	1	0.926	0.8987279	EOL
student102	1	0.926	0.8987279	EOL
student102	1	0.926	0.8987279	EOL
student102	1	0.926	0.8987279	EOL
student102	0	0.215375	0.2014409	EOL
student102	0	0.428227	0.3657538	EOL
student102	1	0.4359817	0.3739541	EOL
student102	1	0.8023934	0.7228142	EOL
student102	1	0.942129	0.9100624	EOL
student102	1	0.9667896	0.9513606	EOL
student102	1	0.9704016	0.958281	EOL
student102	1	0.9709153	0.9593822	EOL
student102	0	0.299601	0.2974189	EOL
student102	0	0.3627827	0.3392458	EOL
student102	0	0.3716546	0.3471879	EOL
student102	0	0.3730432	0.3488108	EOL
student102	1	0.3732641	0.3491474	EOL
student102	1	0.522788	0.4582725	EOL
student102	0	0.7071283	0.6205527	EOL
student102	0	0.4872884	0.4460886	EOL
student102	1	0.3955373	0.37292	EOL
student102	0	0.5590817	0.5017161	EOL
student102	0	0.4154398	0.3906857	EOL
student102	1	0.3805138	0.3584502	EOL
student102	0	0.5350677	0.4759594	EOL
student102	0	0.4080985	0.3819909	EOL
student102	0	0.3791841	0.3564149	EOL
student102	0	0.3742528	0.3507467	EOL
student102	0	0.346499	0.3143043	EOL
student102	1	0.5006614	0.4450819	EOL
student102	1	0.7723514	0.6907494	EOL
student102	0	0.9149053	0.8669964	EOL
student102	1	0.6613912	0.5924073	EOL
student102	1	0.8708338	0.8139894	EOL
student102	1	0.9446133	0.9153409	EOL
student102	1	0.9628108	0.9453438	EOL
student102	1	0.9668703	0.9529914	EOL
student102	1	0.9677551	0.9548637	EOL
student102	1	0.967947	0.9553175	EOL
student102	1	0.9679885	0.9554272	EOL
student102	1	0.9679975	0.9554537	EOL
student102	1	0.9679995	0.9554602	EOL
student102	1	0.9679999	0.9554617	EOL
student102	1	0.968	0.9554621	EOL
student102	1	0.968	0.9554622	EOL
student102	1	0.968	0.9554622	EOL
student102	1	0.968	0.9554622	EOL
student102	1	0.968	0.9554622	EOL
student102	1	0.968	0.9554622	EOL
student102	1	0.968	0.9554622	EOL
student102	1	0.968	0.9554622	EOL
student102	1	0.968	0.9554622	EOL
student102	1	0.968	0.9554622	EOL
student102	1	0.968	0.9554622	EOL
student102	1	0.968	0.9554622	EOL
student102	1	0.968	0.9554622	EOL
student102	1	0.968	0.9554622	EOL
student102	1	0.968	0.9554622	EOL
student102	1	0.968	0.9554622	EOL
student102	1	0.968	0.9554622	EOL
student103	0	0.612612	0.3655561	EOL
student103	0	0.5217554	0.6464455	EOL
student103	1	0.509947	0.6840136	EOL
student103	1	0.7697179	0.9004134	EOL
student103	1	0.9016357	0.9004138	EOL
student103	1	0.9395245	0.9004138	EOL
student103	1	0.9484399	0.9004138	EOL
student103	1	0.9504342	0.9004138	EOL
student103	0	0.293607	0.0005997	EOL
student103	0	0.4023305	0.4394098	EOL
student103	1	0.4172601	0.508167	EOL
student103	0	0.6220365	0.8074235	EOL
student103	1	0.4736452	0.807422	EOL
student103	1	0.6837284	0.8074246	EOL
student103	1	0.8240028	0.8074246	EOL
student103	1	0.877841	0.8074246	EOL
student103	1	0.770344	0.5940379	EOL
student103	1	0.9091254	0.9198669	EOL
student103	1	0.9490403	0.9198676	EOL
student103	1	0.9583587	0.9198676	EOL
student103	1	0.9604223	0.9198676	EOL
student103	1	0.9608739	0.9198676	EOL
student103	1	0.9609725	0.9198676	EOL
student103	1	0.960994	0.9198676	EOL
student103	0	0.522728	0.2483075	EOL
student103	1	0.4974492	0.597647	EOL
student103	1	0.7425914	0.8627457	EOL
student103	0	0.8761521	0.8627464	EOL
student103	1	0.7065458	0.8627464	EOL
student103	1	0.8623253	0.8627464	EOL
student103	0	0.9137839	0.8627464	EOL
student103	1	0.8297947	0.8627464	EOL
student103	1	0.9046341	0.8627464	EOL
student103	1	0.9246994	0.8627464	EOL
student103	0	0.9295271	0.8627464	EOL
student103	1	0.9204069	0.8627464	EOL
student103	1	0.928512	0.8627464	EOL
student103	1	0.9304207	0.8627464	EOL
student103	1	0.9308654	0.8627464	EOL
student103	1	0.9309687	0.8627464	EOL
student103	0	0.332155	0.0693036	EOL
student103	1	0.4620763	0.5954457	EOL
student103	1	0.7409973	0.8535778	EOL
student103	1	0.8799948	0.8535783	EOL
student103	1	0.9163668	0.8535783	EOL
student103	0	0.9240629	0.8535783	EOL
student103	1	0.9126911	0.8535783	EOL
student103	1	0.923313	0.8535783	EOL
student103	1	0.9254638	0.8535783	EOL
student103	1	0.9258932	0.8535783	EOL
student103	1	0.9259788	0.8535783	EOL
student103	1	0.9259958	0.8535783	EOL
student103	1	0.9259992	0.8535783	EOL
student103	0	0.9259998	0.8535783	EOL
student103	0	0.9259988	0.8535783	EOL
student103	1	0.9259917	0.8535783	EOL
student103	1	0.9259983	0.8535783	EOL
student103	1	0.9259997	0.8535783	EOL
student103	1	0.9259999	0.8535783	EOL
student103	1	0.926	0.8535783	EOL
student103	1	0.926	0.8535783	EOL
student103	1	0.926	0.8535783	EOL
student103	1	0.926	0.8535783	EOL
student103	1	0.926	0.8535783	EOL
student103	0	0.215375	0.0174424	EOL
student103	1	0.428227	0.6569694	EOL
student103	1	0.7968521	0.9397529	EOL
student103	1	0.9409728	0.9397532	EOL
student103	0	0.9666156	0.9397532	EOL
student103	1	0.8969812	0.9397532	EOL
student103	1	0.9596621	0.9397532	EOL
student103	1	0.9693767	0.9397532	EOL
student103	0	0.299601	0.0005999	EOL
student103	0	0.3627827	0.3165891	EOL
student103	0	0.3716546	0.3707577	EOL
student103	0	0.3730432	0.3855061	EOL
student103	0	0.3732641	0.389972	EOL
student103	1	0.3732993	0.3913669	EOL
student103	1	0.5228489	0.8074219	EOL
student103	0	0.7071818	0.8074246	EOL
student103	1	0.4873276	0.8074246	EOL
student103	0	0.6736434	0.8074246	EOL
student103	1	0.4653334	0.8074246	EOL
student103	1	0.6503102	0.8074246	EOL
student103	1	0.7973665	0.8074246	EOL
student103	1	0.8655936	0.8074246	EOL
student103	1	0.8893749	0.8074246	EOL
student103	1	0.8968066	0.8074246	EOL
student103	1	0.346499	0.0498225	EOL
student103	1	0.5920509	0.9337186	EOL
student103	1	0.8349058	0.9337414	EOL
student103	1	0.9345873	0.9337414	EOL
student103	1	0.9605066	0.9337414	EOL
student103	1	0.9663648	0.9337414	EOL
student103	1	0.9676453	0.9337414	EOL
student103	1	0.9679232	0.9337414	EOL
student103	1	0.9679834	0.9337414	EOL
student103	1	0.9679964	0.9337414	EOL
student103	1	0.9679992	0.9337414	EOL
student103	1	0.9679998	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	0	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student103	1	0.968	0.9337414	EOL
student106	0	0.612612	0.0123039	EOL
student106	0	0.5217554	0.5132653	EOL
student106	1	0.509947	0.5484988	EOL
student106	1	0.7697179	0.9240143	EOL
student106	1	0.9016357	0.9240156	EOL
student106	1	0.9395245	0.9240156	EOL
student106	1	0.9484399	0.9240156	EOL
student106	1	0.9504342	0.9240156	EOL
student106	0	0.293607	0.0000165	EOL
student106	0	0.4023305	0.3320662	EOL
student106	0	0.4172601	0.3776718	EOL
student106	0	0.4197452	0.3877366	EOL
student106	1	0.4201713	0.3901598	EOL
student106	1	0.625627	0.8493751	EOL
student106	1	0.7946323	0.8493781	EOL
student106	1	0.8681417	0.8493781	EOL
student106	0	0.770344	0.032628	EOL
student106	1	0.5530483	0.5221682	EOL
student106	1	0.806391	0.9391688	EOL
student106	1	0.9208137	0.9391703	EOL
student106	1	0.9518526	0.9391703	EOL
student106	1	0.9589857	0.9391703	EOL
student106	1	0.9605598	0.9391703	EOL
student106	1	0.9609039	0.9391703	EOL
student106	0	0.522728	0.0070808	EOL
student106	0	0.4974492	0.4728454	EOL
student106	0	0.4937636	0.5172354	EOL
student106	1	0.493257	0.5259367	EOL
student106	1	0.7391528	0.8942251	EOL
student106	1	0.8748912	0.8942265	EOL
student106	0	0.9171361	0.8942265	EOL
student106	1	0.8462037	0.8942265	EOL
student106	1	0.9093373	0.8942265	EOL
student106	1	0.9258501	0.8942265	EOL
student106	1	0.9297976	0.8942265	EOL
student106	1	0.9307204	0.8942265	EOL
student106	1	0.9309351	0.8942265	EOL
student106	1	0.9309849	0.8942265	EOL
student106	1	0.9309965	0.8942265	EOL
student106	1	0.9309992	0.8942265	EOL
student106	0	0.332155	0.0015477	EOL
student106	1	0.4620763	0.4870578	EOL
student106	1	0.7409973	0.8868843	EOL
student106	0	0.8799948	0.8868856	EOL
student106	1	0.7259881	0.8868856	EOL
student106	1	0.8752342	0.8868856	EOL
student106	1	0.9153121	0.8868856	EOL
student106	1	0.9238484	0.8868856	EOL
student106	1	0.9255708	0.8868856	EOL
student106	1	0.9259146	0.8868856	EOL
student106	1	0.925983	0.8868856	EOL
student106	1	0.9259966	0.8868856	EOL
student106	1	0.9259993	0.8868856	EOL
student106	1	0.9259999	0.8868856	EOL
student106	1	0.926	0.8868856	EOL
student106	1	0.926	0.8868856	EOL
student106	1	0.926	0.8868856	EOL
student106	1	0.926	0.8868856	EOL
student106	1	0.926	0.8868856	EOL
student106	1	0.926	0.8868856	EOL
student106	1	0.926	0.8868856	EOL
student106	1	0.926	0.8868856	EOL
student106	1	0.926	0.8868856	EOL
student106	1	0.926	0.8868856	EOL
student106	0	0.215375	0.0003586	EOL
student106	0	0.428227	0.5297714	EOL
student106	1	0.4359817	0.5525733	EOL
student106	1	0.8023934	0.9545019	EOL
student106	1	0.942129	0.9545027	EOL
student106	1	0.9667896	0.9545027	EOL
student106	1	0.9704016	0.9545027	EOL
student106	1	0.9709153	0.9545027	EOL
student106	0	0.299601	0.0000166	EOL
student106	0	0.3627827	0.2186795	EOL
student106	0	0.3716546	0.2499809	EOL
student106	0	0.3730432	0.255955	EOL
student106	1	0.3732641	0.2571523	EOL
student106	0	0.522788	0.8493708	EOL
student106	0	0.40463	0.8493421	EOL
student106	1	0.3785673	0.8492008	EOL
student106	1	0.5318168	0.8493781	EOL
student106	1	0.7149409	0.8493781	EOL
student106	1	0.8308091	0.8493781	EOL
student106	1	0.8777384	0.8493781	EOL
student106	1	0.8932205	0.8493781	EOL
student106	1	0.8979711	0.8493781	EOL
student106	0	0.8993961	0.8493781	EOL
student106	1	0.8962378	0.8493781	EOL
student106	1	0.346499	0.0010598	EOL
student106	1	0.5920509	0.948185	EOL
student106	1	0.8349058	0.9498842	EOL
student106	1	0.9345873	0.9498842	EOL
student106	0	0.9605066	0.9498842	EOL
student106	1	0.8747623	0.9498842	EOL
student106	1	0.9456596	0.9498842	EOL
student106	1	0.9630484	0.9498842	EOL
student106	0	0.9669223	0.9498842	EOL
student106	1	0.9519902	0.9498842	EOL
student106	1	0.9644751	0.9498842	EOL
student106	1	0.967234	0.9498842	EOL
student106	1	0.967834	0.9498842	EOL
student106	1	0.9679641	0.9498842	EOL
student106	1	0.9679922	0.9498842	EOL
student106	0	0.9679983	0.9498842	EOL
student106	1	0.9679741	0.9498842	EOL
student106	1	0.9679944	0.9498842	EOL
student106	1	0.9679988	0.9498842	EOL
student106	1	0.9679997	0.9498842	EOL
student106	1	0.9679999	0.9498842	EOL
student106	1	0.968	0.9498842	EOL
student106	1	0.968	0.9498842	EOL
student106	1	0.968	0.9498842	EOL
student106	1	0.968	0.9498842	EOL
student106	1	0.968	0.9498842	EOL
student106	1	0.968	0.9498842	EOL
student106	1	0.968	0.9498842	EOL
student106	1	0.968	0.9498842	EOL
student106	1	0.968	0.9498842	EOL
student106	1	0.968	0.9498842	EOL
student106	1	0.968	0.9498842	EOL
student111	0	0.612612	0.3064113	EOL
student111	1	0.5217554	0.5934604	EOL
student111	1	0.7785643	0.7681013	EOL
student111	1	0.9045782	0.7681016	EOL
student111	1	0.9402437	0.7681016	EOL
student111	1	0.9486022	0.7681016	EOL
student111	1	0.9504702	0.7681016	EOL
student111	1	0.9508832	0.7681016	EOL
student111	1	0.9509742	0.7681016	EOL
student111	0	0.293607	0.000438	EOL
student111	0	0.4023305	0.3582207	EOL
student111	1	0.4172601	0.4480996	EOL
student111	1	0.6220365	0.6056709	EOL
student111	1	0.7926373	0.6056715	EOL
student111	1	0.8674568	0.6056715	EOL
student111	1	0.8909865	0.6056715	EOL
student111	1	0.8975695	0.6056715	EOL
student111	1	0.8993494	0.6056715	EOL
student111	1	0.770344	0.5162692	EOL
student111	1	0.9091254	0.8078869	EOL
student111	1	0.9490403	0.8078875	EOL
student111	1	0.9583587	0.8078875	EOL
student111	1	0.9604223	0.8078875	EOL
student111	1	0.9608739	0.8078875	EOL
student111	1	0.9609725	0.8078875	EOL
student111	1	0.960994	0.8078875	EOL
student111	1	0.9609987	0.8078875	EOL
student111	0	0.522728	0.1964937	EOL
student111	0	0.4974492	0.520452	EOL
student111	1	0.4937636	0.5926602	EOL
student111	1	0.7395714	0.6972171	EOL
student111	1	0.8750454	0.6972173	EOL
student111	1	0.9171766	0.6972173	EOL
student111	1	0.9277418	0.6972173	EOL
student111	1	0.9302408	0.6972173	EOL
student111	1	0.9308236	0.6972173	EOL
student111	1	0.930959	0.6972173	EOL
student111	1	0.9309905	0.6972173	EOL
student111	1	0.9309978	0.6972173	EOL
student111	1	0.9309995	0.6972173	EOL
student111	1	0.9309999	0.6972173	EOL
student111	1	0.931	0.6972173	EOL
student111	1	0.931	0.6972173	EOL
