anonid,obsnum,behavior-ontask,behavior-ontaskconv,behavior-offtask,affect-frustrated,affect-concentrating,affect-confused,affect-bored
student1,1,0,0,0,0,0,0,0
student1,2,1,0,0,0,0,0,0
student1,3,0,0,1,0,0,0,0
student1,4,1,0,0,1,0,0,0
student1,5,1,0,0,0,1,0,0
student1,6,1,0,0,0,1,0,0
student1,7,1,0,0,0,1,0,0
student2,1,0,1,0,0,1,0,0
student2,2,0,0,1,0,0,0,0
student2,3,0,1,0,0,1,0,0
student2,4,0,1,0,0,1,0,0
student2,5,0,1,0,0,1,0,0
student2,6,0,1,0,0,0,0,0
student2,7,0,1,0,0,0,1,0
student2,8,1,0,0,0,1,0,0
student2,9,0,0,1,0,0,0,0
student2,10,0,1,0,0,1,0,0
student2,11,1,0,0,0,1,0,0
student2,12,1,0,0,0,1,0,0
student2,13,0,0,1,0,0,0,0
student3,1,1,0,0,0,1,0,0
student3,2,1,0,0,0,1,0,0
student3,3,1,0,0,0,0,1,0
student3,4,1,0,0,0,1,0,0
student3,5,0,0,0,0,0,0,0
student3,6,0,1,0,1,0,0,0
student3,7,1,0,0,0,0,1,0
student3,8,1,0,0,0,0,1,0
student3,9,1,0,0,0,1,0,0
student3,10,1,0,0,0,1,0,0
student3,11,0,0,0,0,0,0,0
student3,12,0,0,0,0,0,0,0
student3,13,1,0,0,0,0,1,0
student3,14,0,1,0,0,0,1,0
student4,1,1,0,0,0,1,0,0
student4,2,0,1,0,0,0,1,0
student4,3,0,1,0,0,1,0,0
student4,4,0,0,0,0,0,0,0
student4,5,0,0,0,0,0,0,0
student4,6,1,0,0,0,1,0,0
student4,7,0,1,0,0,0,0,0
student4,8,0,1,0,0,1,0,0
student4,9,1,0,0,0,0,1,0
student4,10,0,1,0,0,0,1,0
student4,11,0,1,0,0,1,0,0
student4,12,1,0,0,0,1,0,0
student4,13,1,0,0,0,1,0,0
student4,14,0,1,0,0,1,0,0
student4,15,0,1,0,0,0,1,0
student4,16,0,1,0,1,0,0,0
student4,17,1,0,0,0,1,0,0
student4,18,1,0,0,0,1,0,0
student4,19,1,0,0,0,1,0,0
student4,20,1,0,0,0,1,0,0
student4,21,1,0,0,0,0,1,0
student4,22,1,0,0,0,1,0,0
student4,23,1,0,0,0,1,0,0
student4,24,1,0,0,0,1,0,0
student4,25,1,0,0,0,1,0,0
student4,26,1,0,0,0,1,0,0
student4,27,0,1,0,0,1,0,0
student4,28,1,0,0,0,1,0,0
student4,29,1,0,0,0,1,0,0
student4,30,0,1,0,0,1,0,0
student4,31,0,1,0,0,1,0,0
student5,1,1,0,0,0,1,0,0
student5,2,0,1,0,0,1,0,0
student6,1,1,0,0,0,1,0,0
student6,2,1,0,0,0,1,0,0
student6,3,1,0,0,0,1,0,0
student6,4,1,0,0,0,1,0,0
student6,5,1,0,0,0,1,0,0
student6,6,1,0,0,0,1,0,0
student6,7,1,0,0,0,1,0,0
student6,8,1,0,0,0,1,0,0
student6,9,1,0,0,0,1,0,0
student6,10,1,0,0,0,1,0,0
student6,11,1,0,0,0,1,0,0
student6,12,0,1,0,0,0,1,0
student6,13,1,0,0,0,1,0,0
student6,14,0,0,1,0,0,0,0
student7,1,1,0,0,0,0,1,0
student7,2,1,0,0,1,0,0,0
student7,3,0,0,0,0,0,0,0
student7,4,0,0,0,0,0,0,0
student7,5,0,1,0,0,0,1,0
student7,6,1,0,0,0,1,0,0
student7,7,1,0,0,0,1,0,0
student7,8,1,0,0,0,1,0,0
student7,9,1,0,0,0,1,0,0
student7,10,1,0,0,0,1,0,0
student8,1,0,1,0,0,0,1,0
student8,2,1,0,0,0,0,1,0
student8,3,0,0,1,0,1,0,0
student8,4,1,0,0,0,1,0,0
student8,5,0,0,0,0,0,0,0
student8,6,0,1,0,0,1,0,0
student8,7,0,1,0,0,1,0,0
student8,8,0,1,0,0,1,0,0
student8,9,0,0,1,0,0,0,0
student8,10,1,0,0,0,1,0,0
student9,1,1,0,0,0,1,0,0
student9,2,1,0,0,0,0,1,0
student9,3,1,0,0,0,0,1,0
student9,4,1,0,0,0,1,0,0
student9,5,1,0,0,0,0,1,0
student9,6,1,0,0,0,1,0,0
student9,7,1,0,0,0,1,0,0
student9,8,1,0,0,0,1,0,0
student9,9,1,0,0,0,1,0,0
student9,10,1,0,0,0,0,1,0
student9,11,1,0,0,0,1,0,0
student9,12,1,0,0,0,0,1,0
student9,13,1,0,0,0,1,0,0
student9,14,0,0,1,0,0,0,0
student9,15,1,0,0,0,1,0,0
student9,16,1,0,0,0,1,0,0
student9,17,0,1,0,0,1,0,0
student9,18,1,0,0,0,1,0,0
student9,19,0,1,0,0,0,1,0
student9,20,1,0,0,0,1,0,0
student10,1,1,0,0,0,1,0,0
student10,2,1,0,0,0,1,0,0
student10,3,1,0,0,0,1,0,0
