ID	poster	thread	response-to
1	69497	1	
2	44591	2	
3	24601	2	2
4	74570	3	
5	29022	3	4
6	12345	3	5
7	24601	3	5
8	29022	3	7
9	24601	3	8
10	74577	4	
11	24601	4	10
12	12345	4	11
13	432	4	12
14	22986	4	13
15	24601	4	14
16	31345	5	
17	12345	5	16
18	24601	5	17
19	31345	5	18
20	52378	6	
21	12345	6	20
22	52378	6	21
23	55319	7	
24	12345	7	23
25	87908	8	
26	53936	9	
27	24601	9	26
28	24627	10	
29	76712	10	28
30	22986	11	
31	71660	12	
32	74568	12	31
33	45295	13	
34	22241	13	33
35	3903	14	
36	82875	14	35
37	73981	14	36
38	3903	14	37
39	9061	14	38
40	21588	14	37
41	50718	14	40
42	21588	14	41
43	50718	14	42
44	21588	14	43
45	3903	14	40
46	9061	14	45
47	57254	14	46
48	24601	14	47
49	3903	14	48
50	24601	14	49
51	24627	15	
52	26273	16	
53	80295	16	52
54	26273	16	53
55	35708	17	
56	12345	17	55
57	83224	18	
58	2102	18	57
59	74053	18	58
60	80045	18	59
61	98582	18	60
62	31439	18	61
63	86620	18	62
64	89206	18	63
65	2739	18	64
66	10827	18	65
67	98582	18	66
68	10827	18	67
69	1008	18	68
70	46544	18	68
71	64583	19	
72	24601	19	71
73	64583	19	72
74	12345	20	
75	81734	20	74
76	12345	20	75
77	81734	20	76
78	84726	20	76
79	61054	20	76
80	30026	20	76
81	11454	21	
82	24601	21	81
83	11454	21	82
84	74568	21	83
85	11454	21	84
86	24601	21	84
87	52906	22	
88	13274	22	87
89	39637	22	87
90	44865	22	87
91	57254	22	87
92	32231	23	
93	32231	23	92
94	23815	23	93
95	31788	23	93
96	44355	23	93
97	24601	23	95
98	80033	23	97
99	32231	23	98
100	21090	24	
101	24601	24	100
102	10162	25	
103	80399	26	
104	97013	26	103
105	1588	26	104
106	12345	26	105
107	80399	26	106
108	18299	26	107
109	68265	26	108
110	1588	26	109
111	68265	26	110
112	59743	26	111
113	24601	27	
114	31345	28	
115	24601	28	114
116	21731	28	115
117	87525	28	116
118	31345	28	117
119	86236	29	
120	47634	29	119
121	86236	29	120
122	12345	29	121
123	47634	29	122
124	12345	29	123
125	47634	29	124
126	12345	29	125
127	8639	30	
128	12345	30	127
129	8639	30	128
130	12345	30	129
131	8639	30	130
132	22926	31	
133	90999	31	132
134	9199	31	133
135	59490	31	134
136	22926	31	135
137	42482	31	136
138	9936	31	137
139	26657	32	
140	77476	32	139
141	12345	32	140
142	26657	32	141
143	61247	33	
144	12345	33	143
145	67949	34	
146	24601	34	145
147	12345	34	146
148	67949	34	147
149	24601	34	148
150	25133	35	
151	14644	36	
152	12345	36	151
153	24601	37	
154	22696	37	153
155	12345	37	154
156	72811	38	
157	45835	39	
158	24601	39	157
159	45835	39	158
160	24601	39	159
161	45835	39	160
162	96256	39	157
163	12345	39	162
164	85455	40	
165	85455	40	164
166	70592	40	165
167	85455	40	166
168	85455	40	166
169	39873	40	168
170	74654	41	
171	72811	41	170
172	58594	41	171
173	74654	41	172
174	76712	42	
175	24601	42	174
176	76712	42	175
177	27535	43	
178	44438	44	
179	58431	44	178
180	44438	44	179
181	24601	44	179
182	13544	45	
183	12345	45	182
184	13544	45	183
185	20757	46	
186	13534	46	185
187	13534	46	186
188	97784	47	
189	73263	47	188
190	97784	47	189
191	73263	47	190
192	62306	47	191
193	24601	47	192
194	73263	47	193
195	68491	47	193
196	26362	47	195
197	4582	47	195
198	22986	48	
