,FL_DATE,ORIGIN_CITY_NAME,DEST_CITY_NAME,ARR_DELAY,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,WEATHER
30978,2016-01-03,"Portland, OR","Kahului, HI",232.0,0.0,215.0,17.0,0.0,0.0,"(u'Clear', u'Clear')"
31974,2016-01-03,"Seattle, WA","Juneau, AK",669.0,0.0,669.0,0.0,0.0,0.0,"(u'Clear', u'Light Rain')"
38121,2016-01-03,"Hibbing, MN","Minneapolis, MN",362.0,0.0,362.0,0.0,0.0,0.0,"(u'Overcast', u'Overcast')"
61082,2016-01-05,"Charlotte, NC","Las Vegas, NV",224.0,0.0,224.0,0.0,0.0,0.0,"(u'Clear', u'Overcast')"
62049,2016-01-05,"Spokane, WA","Seattle, WA",282.0,0.0,260.0,22.0,0.0,0.0,"(u'Overcast', u'Overcast')"
65000,2016-01-05,"Las Vegas, NV","Salt Lake City, UT",224.0,0.0,224.0,0.0,0.0,0.0,"(u'Overcast', u'Overcast')"
73447,2016-01-05,"Tampa, FL","Las Vegas, NV",218.0,0.0,209.0,0.0,0.0,9.0,"(u'Clear', u'Overcast')"
79466,2016-01-06,"Los Angeles, CA","San Francisco, CA",302.0,0.0,286.0,16.0,0.0,0.0,"(u'Clear', u'Overcast')"
96161,2016-01-07,"Fargo, ND","Chicago, IL",900.0,0.0,898.0,0.0,0.0,2.0,"(u'Light Snow', u'Overcast')"
97312,2016-01-07,"Salt Lake City, UT","Elko, NV",237.0,0.0,225.0,12.0,0.0,0.0,"(u'Overcast', u'Overcast')"
107862,2016-01-08,"Atlanta, GA","Gulfport/Biloxi, MS",480.0,0.0,480.0,0.0,0.0,0.0,"(u'Overcast', u'Overcast')"
110245,2016-01-08,"Alexandria, LA","Houston, TX",239.0,0.0,239.0,0.0,0.0,0.0,"(u'Overcast', u'Scattered Clouds')"
110432,2016-01-08,"Valparaiso, FL","Houston, TX",207.0,0.0,207.0,0.0,0.0,0.0,"(u'Partly Cloudy', u'Scattered Clouds')"
110466,2016-01-08,"Houston, TX","El Paso, TX",215.0,0.0,187.0,0.0,0.0,28.0,"(u'Scattered Clouds', u'Mostly Cloudy')"
